1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.23276,1.1835,3.9085,9.7117,19.981,35.971,58.659,88.674,126.29,171.48,223.94,283.22,348.71,419.76,495.67,575.73,659.26,745.64,834.25,924.55,1016,1108.3,1200.9,1293.5,1385.8,1477.5,1568.4,1658.3,1747,1834.2,1920,2004.2,2086.6,2167.2,2245.9,2322.7,2397.5,2470.3,2541,2609.6,2676.1,2740.5,2802.7,2862.9,2920.9,2976.7,3030.5,3081.9,3116.8
0.74589,3.886,11.957,27.587,53,89.682,138.3,198.78,270.48,352.4,443.22,541.64,646.32,755.98,869.45,985.64,1103.6,1222.6,1341.8,1460.7,1578.7,1695.4,1810.5,1923.6,2034.6,2143.1,2249.1,2352.5,2453,2550.7,2645.4,2737.3,2826.1,2911.9,2994.8,3074.7,3151.6,3225.5,3296.5,3364.6,3429.9,3492.3,3551.9,3608.8,3663,3714.5,3763.4,3809.4,3835.8
2.6555,12.849,36.085,76.599,136.66,216.54,314.98,429.74,558.1,697.32,844.57,997.51,1154.1,1312.4,1471.1,1629,1785.1,1938.6,2088.9,2235.6,2378.4,2516.9,2651.1,2780.8,2906,3026.5,3142.5,3253.9,3360.7,3463.1,3561,3654.7,3744,3829.3,3910.4,3987.5,4060.8,4130.3,4196,4258.2,4316.8,4372,4423.9,4472.5,4518,4560.4,4599.9,4636.1,4649.1
9.7726,42.163,106.6,206.52,340.33,503.16,688.78,890.84,1103.6,1322.2,1542.7,1762.1,1978.2,2189.3,2394.4,2592.6,2783.4,2966.6,3142,3309.6,3469.4,3621.7,3766.4,3903.9,4034.3,4157.9,4274.8,4385.3,4489.7,4588.1,4680.7,4767.8,4849.6,4926.2,4997.9,5064.8,5127.1,5185,5238.7,5288.2,5333.9,5375.7,5413.8,5448.5,5479.7,5507.7,5532.5,5553.9,5548.7
36.327,136.25,306.03,536.51,812.13,1116.5,1435.7,1758.9,2078.5,2389.4,2688.1,2972.9,3242.9,3497.9,3738,3963.6,4175.2,4373.4,4558.9,4732.3,4894.3,5045.4,5186.3,5317.5,5439.6,5553,5658.1,5755.5,5845.5,5928.6,6004.9,6075,6139.1,6197.6,6250.6,6298.4,6341.4,6379.6,6413.5,6443.1,6468.6,6490.3,6508.3,6522.8,6534,6541.9,6546.8,6548.3,6519.8
135.49,430.51,845.84,1329.2,1838,2343.1,2827.4,3281.8,3702.9,4090.7,4445.4,4769.6,5065.6,5335.9,5582.5,5807.6,6013.1,6200.6,6371.7,6527.7,6669.7,6799,6916.3,7022.7,7118.8,7205.4,7283.2,7352.6,7414.4,7468.8,7516.5,7557.8,7593.1,7622.8,7647.2,7666.5,7681.2,7691.5,7697.5,7699.7,7698,7692.9,7684.4,7672.8,7658.2,7640.8,7620.7,7597.6,7541.2
506.04,1316.7,2220.3,3095.5,3891.2,4592.9,5203.7,5733.3,6192.5,6592.5,6940.9,7245.9,7513.6,7749.3,7957,8140.1,8301.6,8443.8,8568.8,8678.2,8773.7,8856.3,8927.4,8987.9,9038.6,9080.4,9113.9,9139.8,9158.7,9171.1,9177.4,9178.1,9173.6,9164.3,9150.4,9132.4,9110.4,9084.8,9055.7,9023.5,8988.3,8950.4,8909.8,8866.9,8821.6,8774.3,8725,8673.3,8585.2
1891.4,3832.2,5415.5,6632.4,7561.1,8276.8,8837.5,9284,9644.8,9940.8,10184,10385,10553,10692,10806,10900,10975,11035,11081,11114,11136,11147,11150,11144,11131,11111,11085,11053,11016,10974,10928,10878,10824,10767,10707,10644,10579,10511,10441,10369,10296,10220,10143,10065,9985.8,9905.3,9823.8,9740.8,9618.7
7072.8,10257,11817,12654,13145,13455,13660,13800,13894,13958,13995,14011,14012,13998,13973,13936,13891,13837,13777,13709,13636,13557,13474,13387,13296,13201,13104,13004,12901,12797,12690,12582,12473,12362,12251,12138,12025,11912,11797,11683,11568,11453,11337,11222,11107,10992,10877,10761,10605
26455,23133,21434,20453,19819,19363,19006,18708,18449,18216,17997,17790,17592,17398,17209,17023,16838,16656,16474,16294,16114,15936,15758,15581,15405,15230,15056,14883,14711,14541,14371,14203,14036,13870,13706,13543,13381,13221,13062,12904,12748,12593,12440,12288,12138,11989,11841,11694,11504
31637,29557,27833,26469,25392,24522,23800,23183,22643,22162,21721,21313,20930,20568,20223,19892,19573,19264,18965,18673,18390,18113,17843,17578,17320,17066,16818,16575,16336,16102,15872,15646,15424,15206,14992,14781,14574,14371,14170,13973,13779,13588,13400,13214,13032,12852,12675,12500,12279
33021,32070,31020,29988,29030,28154,27356,26628,25958,25339,24758,24212,23695,23204,22736,22287,21856,21442,21042,20656,20283,19921,19571,19231,18901,18580,18268,17964,17667,17379,17097,16822,16554,16291,16035,15784,15539,15298,15063,14833,14607,14385,14168,13955,13746,13540,13339,13140,12895
33390,32947,32371,31706,30999,30277,29557,28850,28162,27500,26858,26240,25646,25076,24527,23999,23491,23002,22531,22077,21639,21216,20807,20412,20029,19659,19300,18951,18613,18284,17965,17654,17352,17057,16770,16490,16217,15950,15689,15435,15186,14943,14705,14472,14244,14020,13801,13585,13323
33482,33212,32840,32369,31822,31217,30575,29912,29242,28577,27919,27276,26649,26042,25455,24889,24342,23815,23308,22818,22346,21891,21452,21027,20617,20220,19836,19464,19104,18754,18415,18085,17765,17453,17150,16854,16567,16286,16012,15745,15484,15230,14981,14737,14499,14266,14038,13814,13543
33482,33212,32840,32369,31822,31217,30575,29912,29242,28577,27919,27276,26649,26042,25455,24889,24342,23815,23308,22818,22346,21891,21452,21027,20617,20220,19836,19464,19104,18754,18415,18085,17765,17453,17150,16854,16567,16286,16012,15745,15484,15230,14981,14737,14499,14266,14038,13814,13543
33390,32947,32371,31706,30999,30277,29557,28850,28162,27500,26858,26240,25646,25076,24527,23999,23491,23002,22531,22077,21639,21216,20807,20412,20029,19659,19300,18951,18613,18284,17965,17654,17352,17057,16770,16490,16217,15950,15689,15435,15186,14943,14705,14472,14244,14020,13801,13585,13323
